date,trades,net_pnl,cumulative_pnl,capital
2022-02-03,8,-1.5016560246337563e-36,-99999.99999999978,4.21718329518377e-35
2022-02-04,7,-7.609631888977519e-38,-99999.99999999978,4.209573663294793e-35
2022-02-07,3,-1.6694866175027933e-36,-99999.99999999978,4.042625001544514e-35
2022-02-08,1,-5.713329433932097e-37,-99999.99999999978,3.985491707205193e-35
2022-02-09,4,-5.194871909687124e-37,-99999.99999999978,3.933542988108322e-35
2022-02-10,2,1.3380301204277195e-36,-99999.99999999978,4.067346000151094e-35
2022-02-11,1,-5.762577916623385e-37,-99999.99999999978,4.00972022098486e-35
2022-02-14,14,-7.146728242913995e-36,-99999.99999999978,3.295047396693461e-35
2022-02-15,2,2.6767898533701433e-36,-99999.99999999978,3.5627263820304754e-35
2022-02-16,3,-1.4487765438693444e-36,-99999.99999999978,3.417848727643541e-35
2022-02-18,3,2.8676738640439697e-38,-99999.99999999978,3.420716401507584e-35
2022-02-21,4,1.1338185059576714e-36,-99999.99999999978,3.534098252103351e-35
2022-02-22,16,4.197941459243394e-37,-99999.99999999978,3.5760776666957846e-35
2022-02-23,1,-5.168631944753901e-37,-99999.99999999978,3.5243913472482453e-35
2022-02-24,11,-4.9527434218839073e-36,-99999.99999999978,3.029117005059855e-35
2022-02-25,12,1.4295114195529668e-36,-99999.99999999978,3.172068147015153e-35
2022-02-28,13,1.4629239215447453e-36,-99999.99999999978,3.318360539169628e-35
2022-03-01,14,-5.773520655850375e-36,-99999.99999999978,2.741008473584591e-35
2022-03-02,14,-4.696327841959967e-36,-99999.99999999978,2.2713756893885938e-35
2022-03-03,7,-2.0381144396984895e-36,-99999.99999999978,2.0675642454187452e-35
2022-03-04,5,-1.3026576978418583e-36,-99999.99999999978,1.9372984756345593e-35
2022-03-07,18,-2.193634851171633e-36,-99999.99999999978,1.717934990517396e-35
2022-03-08,8,2.0353286111169827e-36,-99999.99999999978,1.921467851629094e-35
2022-03-09,9,-2.1090199948423785e-36,-99999.99999999978,1.710565852144856e-35
2022-03-10,4,-3.147707731897659e-37,-99999.99999999978,1.6790887748258797e-35
2022-03-11,4,-3.5702240412660612e-37,-99999.99999999978,1.643386534413219e-35
2022-03-14,9,-1.5346480671507853e-36,-99999.99999999978,1.4899217276981404e-35
