date,ticker,direction,entry_price,stop_price,exit_price,exit_type,shares,gross_pnl,costs,net_pnl,capital_after
2021-11-26,HEXAGON_5_min,short,131.7,132.0367857142857,132.0367857142857,stop,6.375526503959633e-36,-2.147186247583614e-36,1.0088765204343302e-36,-3.156062768017944e-36,2.1156256199034347e-34
2021-11-26,ABB_5_min,short,311.7,312.14428571428573,312.14428571428573,stop,2.7149510682110165e-36,-1.2062139745909659e-36,1.016224025938403e-36,-2.222438000529369e-36,2.093401239898141e-34
2021-11-29,ABB_5_min,long,311.2,310.7185714285714,310.7185714285714,stop,2.6907470949847572e-36,-1.2954025300141138e-36,1.0040553536330991e-36,-2.299457883647213e-36,2.070406661061669e-34
2021-11-29,ALFA_LAVAL_5_MIN,long,362.6,361.7364285714286,361.7364285714286,stop,2.283956603487776e-36,-1.9723596668691288e-36,9.926117815094795e-37,-2.9649714483786084e-36,2.040756946577883e-34
2021-11-29,ASSA_5_min,long,259.9,259.4321428571428,259.4321428571428,stop,3.140834084767808e-36,-1.4694616610878368e-36,9.78681657360731e-37,-2.448143318448568e-36,2.016275513393397e-34
2021-11-29,ATLAS_5_min,long,118.19999996,117.93999996335714,117.93999996335714,stop,6.823267391119202e-36,-1.774049498784337e-36,9.667478167295599e-37,-2.7407973155138965e-36,1.9888675402382583e-34
2021-11-29,ERICSSON_5_MIN,long,93.37,93.16557142857144,93.16557142857144,stop,8.520370741087108e-36,-1.741807218642181e-36,9.536113349831787e-37,-2.69541855362536e-36,1.9619133547020047e-34
2021-11-29,ESSITY_5_min,short,294.5,295.04035714285715,295.04035714285715,stop,2.6647380029908383e-36,-1.4399102137589884e-36,9.425823563852177e-37,-2.382492570144206e-36,1.938088429000563e-34
2021-11-29,GETINGE_5_min,long,391.0,389.4735714285714,389.4735714285714,stop,1.2696882548435864e-36,-1.9380884290005628e-36,5.945748761152105e-37,-2.532663305115773e-36,1.9127617959494052e-34
2021-11-29,HANDELSBANKEN_5_min,long,109.1,108.88642857142857,108.88642857142857,stop,7.01287551218847e-36,-1.4977498415316708e-36,9.172270121507953e-37,-2.414976853682466e-36,1.8886120274125805e-34
2021-11-29,HEXAGON_5_min,long,132.5,132.13571428571427,132.13571428571427,stop,5.184425173289241e-36,-1.8886120274125807e-36,8.231904353365417e-37,-2.7118024627491225e-36,1.8614940027850893e-34
2021-11-29,HUSQVARNA_5_min,long,134.8,134.48142857142858,134.48142857142858,stop,5.523721076513618e-36,-1.7596997143750668e-36,8.924613015082177e-37,-2.6521610158832846e-36,1.8349723926262564e-34
2021-11-29,INVESTOR_5_MIN,long,209.45,208.98749999999998,208.98749999999998,stop,3.504363604920041e-36,-1.620768167275539e-36,8.798142875602375e-37,-2.5005824548357765e-36,1.8099665680778987e-34
2021-11-29,KINNEVIK_5_min,long,269.2819041,268.3355905076429,268.3355905076429,stop,1.9126498686017643e-36,-1.8099665680778986e-36,6.169644182515908e-37,-2.4269309863294894e-36,1.7856972582146037e-34
2021-11-29,NORDEA_5_min,long,107.3,107.10521428571428,107.10521428571428,stop,6.656839732393676e-36,-1.2966572821598272e-36,8.563566895737137e-37,-2.153013971733541e-36,1.7641671184972684e-34
2021-11-29,SEB_5_MIN,long,131.2,130.91660714285715,130.91660714285715,stop,5.378558288101428e-36,-1.5242450005743823e-36,8.458856698783441e-37,-2.3701306704527266e-36,1.7404658117927412e-34
2021-11-29,SKF_5_min,long,208.9,208.3325,208.3325,stop,3.066900108885912e-36,-1.740465811792741e-36,7.677662398084447e-37,-2.508232051601186e-36,1.7153834912767294e-34
2021-11-29,SWEDBANK_5_MIN,long,184.72,184.4372857142857,184.4372857142857,stop,3.714559314154892e-36,-1.0501589832446696e-36,8.227539804228831e-37,-1.8729129636675528e-36,1.6966543616400538e-34
2021-11-29,BOLIDEN_5_min,long,285.506358,284.7783101428571,284.7783101428571,stop,2.3304159815789103e-36,-1.696654361640054e-36,7.974003028137236e-37,-2.4940546644537776e-36,1.671713814995516e-34
2021-11-29,HM_5_min,long,162.92,162.39857142857142,162.39857142857142,stop,3.206026494511943e-36,-1.671713814995516e-36,6.257879754940656e-37,-2.2975017904895816e-36,1.6487387970906202e-34
2021-11-30,ALFA_LAVAL_5_MIN,long,358.1,357.1864285714286,357.1864285714286,stop,1.8047179952517094e-36,-1.6487387970906202e-36,7.745341736413102e-37,-2.4232729707319304e-36,1.6245060673833009e-34
2021-11-30,ATLAS_5_min,long,117.10000001,116.84071429678572,116.84071429678572,stop,5.549124055489574e-36,-1.438808588442146e-36,7.788996271909192e-37,-2.2177082156330652e-36,1.6023289852269703e-34
2021-11-30,BOLIDEN_5_min,long,282.437397,281.71765260714284,281.71765260714284,stop,2.2262472637907967e-36,-1.6023289852269704e-36,7.535691813249976e-37,-2.355898166551968e-36,1.5787700035614507e-34
2021-11-30,GETINGE_5_min,long,387.5,385.9592857142857,385.9592857142857,stop,1.0247000486722527e-36,-1.5787700035614507e-36,4.755382606304606e-37,-2.0543082641919112e-36,1.5582269209195316e-34
2021-11-30,NORDEA_5_min,long,105.5,105.29378571428572,105.29378571428572,stop,5.907969368415286e-36,-1.218307683329614e-36,7.472179374313773e-37,-1.9655256207609914e-36,1.5385716647119217e-34
2021-11-30,SEB_5_MIN,long,130.3,130.00178571428572,130.00178571428572,stop,4.723167044395769e-36,-1.4085158864537803e-36,7.376692895298501e-37,-2.1461851759836303e-36,1.5171098129520855e-34
2021-11-30,SKF_5_min,long,207.0,206.4175,206.4175,stop,2.604480365582934e-36,-1.5171098129520856e-36,6.460426569230295e-37,-2.163152469875115e-36,1.4954782882533343e-34
2021-11-30,ABB_5_min,short,308.1,308.6228571428572,308.6228571428572,stop,1.941549222010171e-36,-1.015152878936785e-36,7.184386700889624e-37,-1.7335915490257477e-36,1.4781423727630767e-34
2021-11-30,SANDVIK_min,short,224.5,225.0142857142857,225.0142857142857,stop,2.6336612432304264e-36,-1.3544543536613385e-36,7.103210115384736e-37,-2.0647753651998122e-36,1.4574946191110787e-34
2021-11-30,SWEDBANK_5_MIN,short,180.9,181.191,181.191,stop,3.222763115779057e-36,-9.378240666916954e-37,7.001601116133327e-37,-1.637984178305028e-36,1.4411147773280284e-34
2021-11-30,HANDELSBANKEN_5_min,short,106.8,107.01857142857142,107.01857142857142,stop,5.397433622951418e-36,-1.1797247775879208e-36,6.924429279840063e-37,-1.872167705571927e-36,1.4223931002723092e-34
2021-11-30,HUSQVARNA_5_min,short,128.2,128.53321428571428,128.53321428571428,stop,4.268703837901822e-36,-1.4223931002723091e-36,6.575508342829796e-37,-2.0799439345552886e-36,1.4015936609267563e-34
2021-12-01,ESSITY_5_min,short,287.0,287.5467857142857,287.5467857142857,stop,1.953440642406629e-36,-1.0681134369730334e-36,6.734058253070268e-37,-1.7415192622800603e-36,1.3841784683039557e-34
2021-12-01,HEXAGON_5_min,long,133.95,133.59321428571428,133.59321428571428,stop,3.8795792905417024e-36,-1.3841784683039557e-36,6.227730680806907e-37,-2.0069515363846462e-36,1.3641089529401092e-34
2021-12-01,HM_5_min,long,163.5,162.9747142857143,162.9747142857143,stop,2.5968894943108525e-36,-1.3641089529401092e-36,5.086912534120251e-37,-1.872800206352134e-36,1.3453809508765877e-34
2021-12-01,HUSQVARNA_5_min,long,131.9,131.54714285714286,131.54714285714286,stop,3.812820508557089e-36,-1.3453809508765877e-36,6.026860015238901e-37,-1.948066952400478e-36,1.3259002813525829e-34
2021-12-01,KINNEVIK_5_min,short,263.89955295,264.9096975878571,264.9096975878571,stop,1.3125845860700407e-36,-1.3259002813525829e-36,4.164641227363449e-37,-1.7423644040889277e-36,1.3084766373116935e-34
2021-12-01,ABB_5_min,long,315.4,314.82714285714286,314.82714285714286,stop,1.6594503960833146e-36,-9.50628012613399e-37,6.274984091020448e-37,-1.578126421715444e-36,1.292695373094539e-34
2021-12-01,VOLVO_5_MIN,long,198.24,197.82328571428573,203.0,eod,2.6083441749284483e-36,1.241571827265939e-35,6.279432100489744e-37,1.1787775062610417e-35,1.4105731237206431e-34
2021-12-01,ALFA_LAVAL_5_MIN,long,356.9,355.95642857142855,355.95642857142855,stop,1.4949298813087775e-36,-1.4105731237206432e-36,6.394022256926907e-37,-2.0499753494133338e-36,1.39007337022651e-34
2021-12-02,ASSA_5_min,short,260.0,260.5057142857143,260.5057142857143,stop,2.138574415733092e-36,-1.0815076330993476e-36,6.678841222885842e-37,-1.7493917553879317e-36,1.3725794526726305e-34
2021-12-02,ATLAS_5_min,short,117.42500017,117.68982159978572,117.68982159978572,stop,4.675595318494366e-36,-1.2381978373430611e-36,6.5958105598526836e-37,-1.8977788933283294e-36,1.3536016637393473e-34
